Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Suspected,ConfnSusp,Notes
,UK,2020-02-12T19:03:06,9.0,0.0,1.0,,,,,
,United Arab Emirates,2020-02-15T06:03:03,8.0,0.0,3.0,,,,,
Queensland,Australia,2020-02-09T19:33:02,5.0,0.0,0.0,,,,,
New South Wales,Australia,2020-02-13T17:53:03,4.0,0.0,4.0,,,,,
Victoria,Australia,2020-02-13T17:53:03,4.0,0.0,4.0,,,,,
British Columbia,Canada,2020-02-07T05:43:03,4.0,0.0,0.0,,,,,
,India,2020-02-13T18:53:02,3.0,0.0,0.0,,,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,,,,,
,Philippines,2020-02-12T07:43:02,3.0,1.0,1.0,,,,,
South Australia,Australia,2020-02-02T22:33:07,2.0,0.0,0.0,,,,,
"Toronto, ON",Canada,2020-02-04T00:13:06,2.0,0.0,0.0,,,,,
,Russia,2020-02-12T14:43:03,2.0,0.0,2.0,,,,,
,Spain,2020-02-15T17:23:04,2.0,0.0,2.0,,,,,
"Chicago, IL",US,2020-02-09T19:03:03,2.0,0.0,2.0,,,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,,,,,
"San Diego County, CA",US,2020-02-13T03:13:08,2.0,0.0,0.0,,,,,
"Santa Clara, CA",US,2020-02-03T00:43:02,2.0,0.0,0.0,,,,,
,Belgium,2020-02-04T15:43:02,1.0,0.0,0.0,,,,,
,Cambodia,2020-02-12T07:43:02,1.0,0.0,1.0,,,,,
"London, ON",Canada,2020-02-12T18:53:03,1.0,0.0,1.0,,,,,
,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0,,,,,
,Finland,2020-02-12T00:03:12,1.0,0.0,1.0,,,,,
Tibet,Mainland China,2020-02-12T06:43:02,1.0,0.0,1.0,,,,,
,Nepal,2020-02-12T14:43:03,1.0,0.0,1.0,,,,,
,Sri Lanka,2020-02-08T03:43:03,1.0,0.0,1.0,,,,,
,Sweden,2020-02-01T02:13:26,1.0,0.0,0.0,,,,,
"Boston, MA",US,2020-02-01T19:43:03,1.0,0.0,0.0,,,,,
"Los Angeles, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,,,,,
"Madison, WI",US,2020-02-05T21:53:02,1.0,0.0,0.0,,,,,
"Orange, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,,,,,
"San Antonio, TX",US,2020-02-13T18:53:02,1.0,0.0,0.0,,,,,
"Seattle, WA",US,2020-02-09T07:03:04,1.0,0.0,1.0,,,,,
"Tempe, AZ",US,2020-02-01T19:43:03,1.0,0.0,0.0,,,,,
Hubei,Mainland China,2020-02-06T23:23:02,22112.0,618.0,817.0,,,,,
Guangdong,Mainland China,2020-02-06T12:43:02,970.0,0.0,69.0,,,,,
Zhejiang,Mainland China,2020-02-06T10:53:04,954.0,0.0,94.0,,,,,
Henan,Mainland China,2020-02-06T11:23:14,851.0,2.0,56.0,,,,,
Hunan,Mainland China,2020-02-06T13:13:06,711.0,0.0,81.0,,,,,
Jiangxi,Mainland China,2020-02-06T02:33:01,600.0,0.0,37.0,,,,,
Anhui,Mainland China,2020-02-06T13:33:02,591.0,0.0,34.0,,,,,
Chongqing,Mainland China,2020-02-06T23:33:02,411.0,2.0,24.0,,,,,
Jiangsu,Mainland China,2020-02-06T08:03:10,373.0,0.0,34.0,,,,,
Shandong,Mainland China,2020-02-06T07:53:02,347.0,0.0,27.0,,,,,
Sichuan,Mainland China,2020-02-06T08:03:10,321.0,1.0,31.0,,,,,
Beijing,Mainland China,2020-02-06T03:23:11,274.0,1.0,31.0,,,,,
Shanghai,Mainland China,2020-02-06T06:53:07,257.0,1.0,25.0,,,,,
Heilongjiang,Mainland China,2020-02-06T08:13:06,227.0,3.0,8.0,,,,,
Fujian,Mainland China,2020-02-06T11:03:19,215.0,0.0,14.0,,,,,
Shaanxi,Mainland China,2020-02-06T13:53:02,173.0,0.0,9.0,,,,,
Guangxi,Mainland China,2020-02-06T04:13:13,168.0,0.0,14.0,,,,,
Hebei,Mainland China,2020-02-06T13:53:02,157.0,1.0,13.0,,,,,
Yunnan,Mainland China,2020-02-06T09:43:02,133.0,0.0,7.0,,,,,
Hainan,Mainland China,2020-02-06T11:13:24,106.0,1.0,8.0,,,,,
Shanxi,Mainland China,2020-02-06T23:03:02,96.0,0.0,12.0,,,,,
Liaoning,Mainland China,2020-02-06T14:33:02,94.0,0.0,5.0,,,,,
Tianjin,Mainland China,2020-02-06T23:43:01,79.0,1.0,2.0,,,,,
Guizhou,Mainland China,2020-02-06T09:53:02,71.0,1.0,6.0,,,,,
Gansu,Mainland China,2020-02-05T16:23:06,62.0,0.0,6.0,,,,,
Jilin,Mainland China,2020-02-06T14:23:04,59.0,0.0,4.0,,,,,
Inner Mongolia,Mainland China,2020-02-06T02:23:08,46.0,0.0,4.0,,,,,
,Japan,2020-02-06T02:53:03,45.0,0.0,1.0,,,,,
Ningxia,Mainland China,2020-02-06T02:13:15,40.0,0.0,1.0,,,,,
Xinjiang,Mainland China,2020-02-06T01:13:08,36.0,0.0,0.0,,,,,
,Singapore,2020-02-05T16:33:03,28.0,0.0,0.0,,,,,
,Thailand,2020-02-04T15:33:03,25.0,0.0,5.0,,,,,
Hong Kong,Hong Kong,2020-02-06T14:43:02,24.0,1.0,0.0,,,,,
,South Korea,2020-02-06T02:53:03,23.0,0.0,0.0,,,,,
Qinghai,Mainland China,2020-02-06T02:13:15,18.0,0.0,3.0,,,,,
Taiwan,Taiwan,2020-02-06T15:03:04,16.0,0.0,1.0,,,,,
,Germany,2020-02-03T20:53:02,12.0,0.0,0.0,,,,,
,Malaysia,2020-02-05T15:43:02,12.0,0.0,0.0,,,,,
Macau,Macau,2020-02-06T14:23:04,10.0,0.0,1.0,,,,,
,Vietnam,2020-02-06T01:13:08,10.0,0.0,1.0,,,,,
,France,2020-02-01T01:52:40,6.0,0.0,0.0,,,,,
,United Arab Emirates,2020-02-02T05:43:01,5.0,0.0,0.0,,,,,
New South Wales,Australia,2020-02-06T03:13:22,4.0,0.0,2.0,,,,,
Queensland,Australia,2020-02-06T02:53:03,4.0,0.0,0.0,,,,,
Victoria,Australia,2020-02-01T18:12:49,4.0,0.0,0.0,,,,,
,India,2020-02-03T21:43:02,3.0,0.0,0.0,,,,,
South Australia,Australia,2020-02-02T22:33:07,2.0,0.0,0.0,,,,,
British Columbia,Canada,2020-02-05T17:33:03,2.0,0.0,0.0,,,,,
"Toronto, ON",Canada,2020-02-04T00:13:06,2.0,0.0,0.0,,,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,,,,,
,Philippines,2020-02-02T03:33:07,2.0,1.0,0.0,,,,,
,Russia,2020-01-31T16:13:45,2.0,0.0,0.0,,,,,
,UK,2020-02-01T01:52:40,2.0,0.0,0.0,,,,,
"Chicago, IL",US,2020-02-01T19:43:03,2.0,0.0,0.0,,,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,,,,,
